,year,month,co2_flux,LE,H,WS_site,WS_satellite,swh,Precipitation,e,ta,ts,sst,rh_fraction,deltaE,deltaE_SST,upt,udeltaT_SST,ude,ude_SST,lat_sat,lon_sat,co2_mole_fraction,carbon_footprint,air_pressure,lat_site,lon_site,PP_air,PP_seawater,PP_seawater_SST,delta_p,NPP_air,Ndelta_p,Easting_site,Northing_site,radian_wd,x_cfp,y_cfp,co2_flux_sd,LE_sd,H_sd,WS_site_sd,WS_satellite_sd,swh_sd,Precipitation_sd,e_sd,ta_sd,ts_sd,sst_sd,rh_fraction_sd,deltaE_sd,deltaE_SST_sd,upt_sd,udeltaT_SST_sd,ude_sd,ude_SST_sd,lat_sat_sd,lon_sat_sd,co2_mole_fraction_sd,carbon_footprint_sd,air_pressure_sd,lat_site_sd,lon_site_sd,PP_air_sd,PP_seawater_sd,PP_seawater_SST_sd,delta_p_sd,NPP_air_sd,Ndelta_p_sd,Easting_site_sd,Northing_site_sd,radian_wd_sd,x_cfp_sd,y_cfp_sd,delta_P_SST,delta_P_SST_sd,Easting_Sat,Northing_Sat,distance,wde,wde_SST,wdelta_T,wdeltaT_SST,chlor_a,PP_air_microatm,u.,u._sd,PCO2,delta_p_p,k2,k1
15,2017,1,-0.04818605,11.40309121,1.526750256,0.54703762,5.072222222,1.179444444,0.191107872,3611.379358,26.41658122,NA,30.094,0.843535672,NA,1.162305019,NA,1.457051438,NA,0.72175972,4.681916,280.4569438,397.8582996,621.5129534,100737.6081,5.468333,100.2002778,0.039609886,NA,7208.954604,NA,3.960988594,NA,632966.6899,604566.2313,0.913734863,633302.6518,605027.5117,0.150514246,5.765913317,1.103814328,0.580279824,1.952080799,0.405779839,1.088713236,333.8162704,1.273092045,NA,0.366715148,0.088267219,NA,0.149478708,NA,1.662594387,NA,0.898036181,2.475872061,1.390894852,16.4805735,682.4070698,218.6734163,0,0,0.001273281,NA,57.17341809,NA,0.127328125,NA,0,0,0.4394753,433.8197332,581.6061462,7208.914994,57.17214481,661601.2987,517671.6773,52.56942988,NA,1.370874197,NA,3.141486365,0.772,390.9191803,0.04945378,0.022373106,384.7011448,-6.21803553,6.57E-05,7.30E-05
16,2017,2,-0.068007152,16.06663378,1.112859272,0.813557859,2.665454545,1.014909091,0.100186986,3771.234394,27.07152215,NA,29.623,0.853102388,NA,1.031388342,NA,2.452174472,NA,1.039561555,4.971773154,280.7604795,396.5103369,1306.068027,100895.3051,5.468333,100.2002778,0.039498951,NA,7136.205102,NA,3.94989507,NA,632966.6899,604566.2313,1.038495987,633473.5959,605721.8347,0.128605141,8.786434465,1.313903369,0.807289891,1.476566041,0.352119427,0.881584487,386.9622571,1.202875169,NA,0.677840525,0.124349248,NA,0.360600478,NA,1.721976139,NA,0.753157486,2.216616572,1.670364501,20.58857513,1917.635997,191.0143931,0,0,0.001158768,NA,105.1712227,NA,0.115876796,NA,0,0,0.398905753,740.2797578,1800.836593,7136.165603,105.1700639,695195.5916,549804.099,52.86612631,NA,1.046765405,NA,3.059074579,1.776666667,389.8243346,0.054127589,0.021220044,443.1850851,53.36075058,7.19E-05,-1.20E-05
17,2017,3,-0.028908306,10.54740628,1.625683068,0.461067517,3.57,1.0635,0.275158847,3758.88804,26.96353638,NA,31.33909091,0.959300888,NA,1.043034824,NA,2.19723299,NA,0.72712679,3.926874818,279.8253001,401.5448153,389.2850679,100754.6931,5.468333,100.2002778,0.039994249,NA,7405.603791,NA,3.999424935,NA,632966.6899,604566.2313,0.793655425,633211.9791,604824.7234,0.133311614,6.335820928,1.028030566,0.490408728,1.702049185,0.212300326,1.763094165,400.7710982,1.420300211,NA,0.988356763,0.077403803,NA,0.230088355,NA,1.931287613,NA,0.71836197,2.276777134,1.708696457,36.603996,318.2373974,174.5846415,0,0,0.002276269,NA,157.6895386,NA,0.227626911,NA,0,0,0.425807556,233.6912888,267.0823046,7405.563797,157.6872623,591624.2306,434089.6663,51.87608745,NA,1.109267535,NA,5.068145554,1.188571429,394.7125522,0.041772341,0.022418809,423.0615046,28.34895244,5.55E-05,-9.61E-06
18,2017,4,-0.024650171,10.49447945,1.909875417,0.505566744,2.710833333,1.131083333,0.211691023,3838.161971,27.18346209,NA,31.23625,0.886071919,NA,1.21367821,NA,1.29376351,NA,0.336730502,5.136654143,280.7996022,406.3974231,324.7862183,100799.1479,5.468333,100.2002778,0.040047405,NA,7389.100833,NA,4.004740477,NA,632966.6899,604566.2313,0.777982654,633177.8894,604774.308,0.141608178,6.523478702,1.139843462,0.545851857,1.465267325,0.348129406,1.446094681,434.7328638,1.457926961,NA,0.907208237,0.092528274,NA,0.404273083,NA,1.569039407,NA,0.414807743,2.323458722,1.446085996,44.28083837,251.5954063,125.1352627,0,0,0.002900404,NA,143.6138758,NA,0.290040367,NA,0,0,0.431282276,206.7795793,195.4499225,7389.060785,143.6109754,699484.3068,568050.4236,52.96812818,NA,1.372771196,NA,2.894482994,0.49,395.2371554,0.044992828,0.033508203,413.4471392,18.20998382,5.98E-05,-1.28E-05
19,2017,5,-0.02393102,8.476580894,1.644758917,0.342097675,3.213636364,1.804,0.240609841,4017.105285,28.188443,NA,31.48,0.925074614,NA,1.079710339,NA,2.563716592,NA,0.661989166,4.331723083,280.5908211,409.2919165,317.2727273,100624.7164,5.468333,100.2002778,0.040186168,NA,7427.1281,NA,4.01861682,NA,632966.6899,604566.2313,0.730450952,633189.322,604766.3744,0.152909266,5.686758915,1.348101283,0.38252439,1.37438912,2.031115851,1.631767942,487.2525547,1.326390627,NA,0.487749936,0.097466057,NA,0.161049086,NA,3.482884429,NA,0.902465086,2.198199556,1.803403345,42.74530896,534.8023839,199.9151167,0,0,0.002819996,NA,77.41821639,NA,0.28199957,NA,0,0,0.392555919,365.8389355,404.0822351,7427.087913,77.4153964,676538.8445,478979.8495,52.46127208,NA,1.947797451,NA,13.5193691,0.6,396.6066439,0.041568514,0.028960165,417.769424,21.16278008,5.52E-05,-1.07E-05
20,2017,6,-0.020287574,8.921775961,1.617132152,0.349700487,4.147777778,2.436,0.027166157,4048.814518,28.9444235,30.80952131,31.308,0.934675782,0.616190695,0.843344551,1.044811676,0.202895002,0.317713354,0.049229168,4.614292417,280.0167781,409.2384274,248.5414634,100670.6156,5.468333,100.2002778,0.041163797,7321.294573,7401.36931,7306.64575,4.116379687,7302.684812,632966.6899,604566.2313,0.789305324,633121.7005,604740.1574,0.127251845,3.715940101,1.127199781,0.374397341,1.35750486,2.860810025,0.216744282,576.093427,1.87790132,0.603382246,1.365217931,0.116277156,0.300920707,0.43983838,1.564083259,0.214162946,0.372805522,0.053379871,2.527444785,1.778127375,55.36859005,173.5543495,110.9497013,0,0,0.011218897,94.94949914,213.8582545,74.77168351,1.121889726,74.77154029,0,0,0.407673369,115.764221,155.7266104,7401.328147,213.8470356,612783.5584,510109.5249,52.31553525,1.501040533,2.054387326,7.278117525,1.413358696,0.7375,406.2550888,0.036624789,0.024497222,410.9529737,4.697884965,4.86E-05,-4.07E-05
21,2017,7,-0.029410776,8.028382036,1.478136235,0.319034944,4.232727273,1.397636364,0.147593097,4044.277538,28.73631182,30.5344364,31.125,0.988684302,0.59049458,0.693593583,1.313786021,0.184200617,0.362907468,0.107278066,4.961956333,280.6556565,395.4530158,326.0651324,100699.1785,5.468333,100.2002778,0.039962476,7277.887967,7372.410737,7266.719924,3.9962476,7262.76467,632966.6899,604566.2313,0.854652084,633161.4148,604798.9352,0.140042137,3.524799114,1.037336065,0.338202375,1.77473993,0.429240789,1.187245139,507.7315975,1.92098299,0.4473561,1.417615369,0.059699295,0.384638922,0.259748017,2.007743811,0.227932885,0.462080743,0.144443865,2.274691706,1.574189784,20.9921763,526.1566862,102.6246886,0,0,0.002274803,70.14335059,224.2248579,56.46238113,0.227480272,56.48990113,0,0,0.412846219,308.7503283,442.550714,7372.370775,224.2225831,683572.6037,548688.4689,52.8088064,0.825296698,0.969391613,5.755467083,0.806950727,0.585,394.3989736,0.042778548,0.031874522,407.7237212,13.32474761,5.68E-05,-2.08E-05
22,2017,8,-0.015694548,7.890642955,1.973441048,0.364512146,5.705454545,1.801454545,0.179316713,3781.288359,26.7974746,30.41519321,30.28,0.875400549,1.332419281,1.62091274,0.914625687,0.464520558,0.434772603,0.113008769,4.921141769,280.4996762,408.0838454,252.7315436,100682.6169,5.468333,100.2002778,0.04001329,7259.286069,7239.989468,7232.41144,4.001328975,7228.462301,632966.6899,604566.2313,0.837749799,633112.0039,604749.1914,0.155067377,4.752756113,1.466423333,0.397840959,3.610352791,0.913098282,1.406865333,491.9470058,1.497892632,0.515759679,1.923330445,0.109452528,0.134570231,NA,1.093919745,NA,0.532290265,NA,2.363670008,1.868310876,48.99510018,201.6698744,142.1974511,0,0,0.003271423,80.73002455,300.408461,77.37208009,0.327142313,77.37324017,0,0,0.419603197,150.6988119,165.2453141,7239.949455,300.4051896,666284.1836,544134.1539,52.71040896,2.40029277,2.920000622,4.520169272,2.295705861,0.31,394.9004663,0.043105193,0.026596201,400.186194,5.28572771,5.72E-05,-2.80E-05
23,2017,9,0.000869629,9.09898064,1.866474097,0.398001104,4.814444444,1.250222222,0.56455532,3649.426096,26.38577127,30.31742182,31.335,0.863037023,1.2382653,1.563828166,1.073092452,1.938609582,0.43382244,0.689310227,4.452367615,279.8645265,408.2810392,275.9655172,100731.6497,5.468333,100.2002778,0.040719789,7244.157209,7404.991701,7242.228153,4.071978897,7238.299185,632966.6899,604566.2313,0.839165888,633118.8545,604773.3427,0.13202726,5.106902997,1.23039961,0.452810037,1.696032953,0.227275591,2.306041674,459.267848,1.475439504,0.63682881,1.10792599,0.082660634,0.197739801,0.264902846,1.366302639,2.457654181,0.55159899,0.904461707,2.483035108,1.762871277,45.54854364,246.4199897,127.1614115,0,0,0.004175824,99.22380348,176.0616505,85.05338181,0.417582355,85.04205566,0,0,0.40977813,141.4664361,225.5837637,7404.950981,176.0574747,595915.3934,492186.5116,52.15844704,1.548106795,1.955132725,3.370855049,6.089663464,0.41,401.8730715,0.040562414,0.02501943,419.4043797,17.53130822,5.39E-05,4.67E-07
24,2017,10,0.027429295,8.139502732,2.128652819,0.413463072,5.1525,2.90675,0.177836412,3674.848925,26.62922108,30.11031426,30.425,0.876295085,1.081862252,1.115864875,1.088556406,0.443032606,0.402763879,0.104838424,6.24314175,279.9352038,401.8422365,190.875,100691.1646,5.468333,100.2002778,0.039577931,7211.734368,7260.634728,7182.257114,3.95779308,7178.346685,632966.6899,604566.2313,0.676521602,633104.3327,604680.9497,0.129037847,3.99213687,1.930117983,0.477075858,3.713106292,2.659283409,1.425095213,365.39569,1.128895297,0.560629343,0.459619408,0.080421923,0.149087493,0.032787611,1.517980599,0.255142619,0.555672444,0.042264586,2.48694507,1.498760211,28.29359685,135.9658885,94.48281347,0,0,0.001032484,87.33527662,71.94166813,44.60903276,0.103248441,44.608528,0,0,0.382454668,101.4677103,112.723496,7260.59515,71.94063564,603456.2029,690173.9305,53.08917275,3.144703102,3.243540227,7.652826934,3.114631305,0.495,390.6038076,0.029829842,0.01646692,394.4325912,3.828783667,3.96E-05,6.75E-05
